CustID,ASP,Recency,Frequency,Monetary
MU1256,366.1014383,1,1,1
MU3441,366,5,4,5
MU3074,365.7480315,4,2,2
MU3401,365.26315789,5,4,5
MU3288,365.01240695,2,1,2
MU10276,365,2,2,3
MU3416,365,5,4,5
MU10002,364,2,3,3
MU331,363.84615385,4,3,4
MU2040,363.60655738,2,3,4
MU3291,363.22580645,4,2,2
MU2135,363.03963724,1,1,1
MU1206,362.58373206,4,3,3
MU2088,362.46753247,3,1,1
MU1016,362.10131332,2,1,1
MU2871,362.09876543,4,1,1
MU2069,361.62737643,1,1,1
MU1951,361.25506926,4,1,1
MU2663,360.66298343,2,2,2
MU2875,360.64220183,3,2,2
MU2513,360.61709349,2,1,1
MU3060,360.12820513,1,1,1
MU10007,360,4,4,5
MU10097,360,3,3,3
MU10145,360,3,3,5
MU10183,360,3,4,5
MU10295,360,3,3,4
MU10461,360,3,3,5
MU10490,360,3,4,5
MU10532,360,3,4,5
MU10559,360,3,4,5
MU10624,360,3,4,4
MU3197,360,4,3,3
MU2199,359.80861244,3,2,3
MU1168,359.77466504,1,1,1
MU3133,359.68716673,4,1,1
MU2203,359.65517241,4,3,4
MU3067,359.51219512,2,2,2
MU2447,359.375,5,4,5
MU2176,359.09090909,5,4,5
MU2205,359.09090909,5,4,5
MU2793,358.9825784,1,1,1
MU3518,358.74790386,2,1,1
MU2375,358.57857858,1,2,1
MU3090,358.3908046,4,3,3
MU2429,358.21782178,2,1,1
MU3255,358.00395257,5,2,2
MU1098,357.71689498,4,2,3
MU2928,357.58550607,1,1,1
MU2584,357.53562448,3,1,1
MU10172,356.79012346,3,3,4
MU11116,356.4516129,1,4,4
MU2112,356.30363036,3,2,2
MU1187,355.41436464,2,2,2
MU2388,354.86626581,1,1,1
MU2803,354.53590193,4,2,2
MU2738,354.5248584,2,1,1
MU10871,354.52380952,2,3,4
MU2684,354.15631848,1,1,1
MU2220,354.07239819,3,2,2
MU10005,354.06593407,4,3,3
MU2024,354,5,4,4
MU2987,353.72379293,1,1,1
MU1324,353.57026587,1,1,1
MU2357,353.40508147,1,1,1
MU3218,353.24025596,4,1,1
MU3430,353.07407407,2,1,1
MU2345,352.991522,4,1,1
MU10338,352.5,3,4,4
MU2468,352.01267829,5,2,2
MU2012,351.71171171,5,3,3
MU2979,351.68490153,3,1,1
MU2810,351.62014758,4,2,2
MU2897,350.12824623,1,1,1
MU2387,349.74850299,4,1,1
MU3261,349.49828962,4,1,1
MU1281,349,5,4,5
MU1920,349,5,4,5
MU3165,348.99297424,3,2,2
MU2868,348.89701248,1,1,1
MU2660,348.74200426,2,1,1
MU2699,348.24561404,4,2,3
MU3301,348.125,5,3,3
MU2562,348.08314088,4,2,2
MU2559,347.79460171,1,1,1
MU2523,347.7593361,2,1,1
MU10024,347.5,2,3,4
MU2527,347.44258873,3,1,1
MU3174,347.17676768,1,1,1
MU1755,346.69026549,3,1,1
MU2714,346.63934426,4,2,2
MU1665,346.49592022,1,1,1
MU1036,346.4082025,1,1,1
MU1295,346.26409018,2,1,1
MU315,345.64078132,4,1,2
MU1562,345.58139535,4,3,4
MU10026,345.33333333,4,4,5
MU2514,344.98007968,1,2,1
MU2886,344.8245614,4,2,2
